X1	X2	X3	X4	V-3	V-2	V-1	V
0	1	0	0	0,05	0,05	0,145	0,135
0	1	0	1	0,05	0,145	0,865	0,215
0	1	1	0	0,145	0,135	0,215	0,325
0	1	1	1	0,135	0,215	0,325	0,195
1	0	0	0	0,215	0,325	0,195	0,225
1	0	0	1	0,325	0,195	0,225	0,45
1	0	1	0	0,195	0,225	0,45	0,55
1	0	1	1	0,225	0,45	0,55	0,84
1	1	0	0	0,45	0,55	0,84	0,425
0	0	0	1	0,55	0,84	0,425	0,025
0	0	1	0	0,84	0,425	0,025	0,05
0	0	1	1	0,425	0,025	0,05	0,155
0	1	0	0	0,025	0,05	0,155	0,225
0	1	0	1	0,05	0,155	0,225	0,275
0	1	1	0	0,155	0,225	0,275	0,29
0	1	1	1	0,225	0,275	0,29	0,15
1	0	0	0	0,275	0,29	0,15	0,195
1	0	0	1	0,29	0,15	0,195	0,395
1	0	1	0	0,15	0,195	0,395	0,45
1	0	1	1	0,195	0,395	0,45	0,695
1	1	0	0	0,395	0,45	0,695	0,6
0	0	0	1	0,45	0,695	0,6	0,025
0	0	1	0	0,695	0,6	0,025	0,05
0	0	1	1	0,6	0,025	0,05	0,225
0	1	0	0	0,025	0,05	0,225	0,2975
0	1	0	1	0,05	0,225	0,2975	0,3025
0	1	1	0	0,225	0,2975	0,3025	0,325
0	1	1	1	0,2975	0,3025	0,325	0,275
1	0	0	0	0,3025	0,325	0,275	0,225
1	0	0	1	0,325	0,275	0,225	0,395
1	0	1	0	0,275	0,225	0,395	0,495
1	0	1	1	0,225	0,395	0,495	0,65
1	1	0	0	0,395	0,495	0,65	0,45
